prescription_id,production_method,num_medications,complexity,adversarial,api_success,api_error,patient_name_ok,prescription_date_ok,doctor_name_ok,doctor_crm_ok,med_recall,med_precision,med_f1,name_recall,dosage_recall,route_recall,frequency_recall,instructions_recall,duration_days_recall,all_critical_ok
P001,canva_manual,1,simple,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P002,canva_manual,1,simple,False,True,,True,True,False,True,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,True
P003,canva_manual,1,simple,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P004,canva_manual,2,simple,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,,0.5,1.0,1.0,False
P005,canva_manual,2,complex,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,True
P006,canva_manual,2,simple,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P007,canva_manual,3,complex,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,True
P008,canva_manual,3,complex,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,True
P009,canva_manual,3,complex,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P010,canva_manual,4,complex,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,True
P011,script,4,simple,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,False
P012,script,5,complex,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P013,script,2,simple,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,True
P014,script,3,simple,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P015,script,1,complex,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P016,script,1,simple,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P017,script,2,simple,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,True
P018,script,2,complex,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,False
P019,script,1,simple,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,True
P020,script,3,complex,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P021,script,1,complex,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P022,script,4,complex,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P023,script,2,simple,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P024,script,4,simple,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P025,script,5,complex,False,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
P026,manuscrita_real,1,simple,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,True
P027,manuscrita_real,2,complex,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,True
P028,manuscrita_real,3,simple,True,True,,True,True,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,False
P029,manuscrita_real,3,complex,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,True
P030,manuscrita_real,6,complex,True,True,,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,0.833,1.0,1.0,False
